pop,ssp,ploidy,type,family,garden,year,grwvol_m,MAT ,MWMT ,MCMT ,TD ,MAP ,MSP ,AHM ,SHM ,DD0 ,DD5 ,DDL18 ,DDG18 ,NFFD ,bFFP ,eFFP ,FFP ,PAS ,EMT ,EXT ,MAR ,Eref ,CMD ,RH ,PPT_wt ,PPT_sp ,PPT_sm ,PPT_at ,DD0_wt ,DD5_sm 
NMT-1,wyomingensis,4x,t4x,NMT-1-3,Majors,y12,1.480021664,8.2,20.6,-3.7,24.3,293,166,62,124.1,408,2089,3779,213,170,152,270,118,33,-37.5,37.7,18.8,1078,831,44,46,53,115,79,337,1290
WAT-1,tridentata,2x,t2x,WAT-1-4,Orchard,y12,1.477514063,11,22.8,-0.5,23.3,278,71,75.7,322.5,186,2681,2932,415,257,115,292,177,22,-24.4,41,14.3,959,763,59,100,72,35,71,159,1499
WAW-1,wyomingensis,4x,t4x,WAW-1-6,Ephraim,y11,1.472635913,10.9,22.6,-1.1,23.7,197,50,105.9,447.4,214,2676,2997,414,246,116,289,173,21,-26.2,40.9,15.1,951,818,58,76,45,26,49,185,1500
WAT-1,tridentata,2x,t2x,WAT-1-6,Orchard,y12,1.471128219,11,22.8,-0.5,23.3,278,71,75.7,322.5,186,2681,2932,415,257,115,292,177,22,-24.4,41,14.3,959,763,59,100,72,35,71,159,1499
IDT-2,tridentata,2x,t2x,IDT-2-7,Ephraim,y11,1.462086344,9.9,22.8,-2.3,25.1,279,68,71.1,334,276,2452,3316,371,217,132,277,145,39,-29.1,41.6,15.7,1022,824,54,102,86,30,62,235,1468
CAT-1,tridentata,2x,t2x,CAT-1-1,Ephraim,y11,1.451325744,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
COT-1,tridentata,2x,t2x,COT-1-3,Ephraim,y11,1.448984597,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
NVT-2,tridentata,2x,t2x,NVT-2-3,Majors,y12,1.447934905,8.9,21.6,-2.3,24,239,101,79.1,215,328,2222,3584,277,188,144,272,128,29,-34.1,39.9,18,1069,864,48,54,65,56,64,266,1366
UTT-2,tridentata,2x,t2x,UTT-2-8,Majors,y12,1.445716631,9.5,23.2,-4.1,27.3,307,141,63.5,164.4,380,2501,3472,393,207,127,281,154,33,-33.9,39.5,17,1033,777,53,52,70,87,99,327,1503
ORT-2,tridentata,2x,t2x,ORT-2-8,Majors,y12,1.440149372,11.6,23,0.5,22.5,244,61,88.4,380.2,150,2792,2767,442,259,112,289,177,15,-23.7,40.9,14.6,1018,824,58,91,58,30,65,128,1527
UTT-1,tridentata,2x,t2x,UTT-1-8,Majors,y12,1.438490314,6.9,19,-4.1,23.2,318,151,53.1,125.7,479,1755,4158,120,157,161,259,97,63,-37.7,37.1,18,980,729,46,67,74,98,78,375,1138
ORT-1,tridentata,2x,t2x,ORT-1-2,Ephraim,y11,1.435409469,8.2,20.5,-2.9,23.4,342,109,53,187.8,347,1990,3776,206,177,151,260,109,57,-32.6,40,16.4,987,730,49,103,98,57,84,278,1262
IDT-2,tridentata,2x,t2x,IDT-2-1,Ephraim,y11,1.43419958,9.9,22.8,-2.3,25.1,279,68,71.1,334,276,2452,3316,371,217,132,277,145,39,-29.1,41.6,15.7,1022,824,54,102,86,30,62,235,1468
ORT-1,tridentata,2x,t2x,ORT-1-6,Majors,y12,1.432588938,8.2,20.5,-2.9,23.4,342,109,53,187.8,347,1990,3776,206,177,151,260,109,57,-32.6,40,16.4,987,730,49,103,98,57,84,278,1262
AZT-1,wyomingensis,4x,t4x,AZT-1-2,Majors,y12,1.432446861,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZW-1,wyomingensis,4x,t4x,AZW-1-8,Ephraim,y11,1.429471596,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
ORW-2,tridentata,2x,t2x,ORW-2-9,Majors,y12,1.421424441,7,18.5,-2.3,20.8,306,109,55.6,170.2,366,1654,4091,106,175,161,263,102,56,-31.1,38,16.2,860,642,54,78,92,57,79,268,1082
COW-2,wyomingensis,4x,w4x,COW-2-4,Majors,y12,1.421323175,7.5,21.7,-6.6,28.3,297,134,59,161.8,616,2190,4070,266,177,140,266,125,56,-38.6,39.5,17,1003,757,47,50,85,72,89,518,1363
NMT-1,wyomingensis,4x,t4x,NMT-1-1,Ephraim,y11,1.420331468,8.2,20.6,-3.7,24.3,293,166,62,124.1,408,2089,3779,213,170,152,270,118,33,-37.5,37.7,18.8,1078,831,44,46,53,115,79,337,1290
WAT-1,tridentata,2x,t2x,WAT-1-7,Majors,y12,1.414762307,11,22.8,-0.5,23.3,278,71,75.7,322.5,186,2681,2932,415,257,115,292,177,22,-24.4,41,14.3,959,763,59,100,72,35,71,159,1499
