,pop,ssp,garden,grw_log,grwvol_m,grw_sd,grw.fitted,grw.hat,grw.fixed,grw.mu,seed_log,weight,seed.fitted,seed.hat,seed.fixed,seed.mu
UTW2,UTW-2,w,Majors,0.524754488,0.705392587,0.417250929,0.533384196,0.102327172,0.631825223,0.533384196,9.146765067,96.37305,7.358197097,0.348109706,3.410973623,7.358197097
WAT1,WAT-1,t,Majors,1.349180996,2.642785002,1.384362941,1.35072839,0.092904212,1.370341139,1.35072839,8.612093407,104.7599333,8.472082696,0.258230876,8.008594385,8.472082696
WAT2,WAT-2,w,Majors,1.031951114,1.829654529,1.075728759,1.010562475,0.102449053,0.766577422,1.010562475,6.4767691,40.5048,5.765509945,0.258227251,3.410973623,5.765509945
AZT1,AZT-1,w,Orchard,0.331968884,0.378861134,0.148350317,0.360286608,0.102451296,0.6833133,0.360286608,0.114761473,0.12515,1.142605587,0.348109706,3.410973623,1.142605587
AZW1,AZW-1,w,Orchard,0.278723441,0.323690187,0.172587308,0.316296882,0.092980639,0.792528837,0.316296882,0.017301508,0.01745,1.075536157,0.348109706,3.410973623,1.075536157
CAT1,CAT-1,t,Orchard,0.642695832,0.810063268,0.287973818,0.740636507,0.173467366,1.361320658,0.740636507,7.896391132,82.25495,7.931379006,0.348116256,8.008594385,7.931379006
CAT2,CAT-2,t,Orchard,0.477979586,0.601381385,0.285030358,0.525659214,0.092879332,1.129984007,0.525659214,5.273296286,16.61955,6.126232906,0.348116256,8.008594385,6.126232906
COT1,COT-1,t,Orchard,0.806976396,1.027501953,0.233462938,0.824050841,0.102416673,1.018822907,0.824050841,4.749665395,22.4252,5.765883656,0.348116256,8.008594385,5.765883656
COW1,COW-1,w,Orchard,0.165385942,0.178254218,0.081725016,0.183278707,0.092912039,0.410064066,0.183278707,0.010601452,0.01065,1.070925352,0.348109706,3.410973623,1.070925352
COW2,COW-2,w,Orchard,0.157883458,0.171012125,0.090736906,0.184196186,0.114055201,0.451000852,0.184196186,0.00029991,3.00E-04,1.063836097,0.348109706,3.410973623,1.063836097
IDT1,IDT-1,t,Orchard,0.666574009,0.849904234,0.29144829,0.706956936,0.092823076,1.218798267,0.706956936,9.488486729,41.5008,9.02701806,0.348116256,8.008594385,9.02701806
IDT2,IDT-2,t,Orchard,0.631817618,0.772186971,0.207946683,0.673960794,0.092819667,1.208112744,0.673960794,12.86957495,144.9574,11.35379562,0.348116256,8.008594385,11.35379562
IDT3,IDT-3,t,Orchard,0.483847699,0.586437038,0.235369149,0.520594686,0.092969707,0.986351588,0.520594686,6.111545489,20.4803,6.70309435,0.348116256,8.008594385,6.70309435
IDW1,IDW-1,w,Orchard,0.260199011,0.286221943,0.101465499,0.286762514,0.10237597,0.589778409,0.286762514,0.085899546,0.093333333,0.85731088,0.258227251,3.410973623,0.85731088
IDW2,IDW-2,w,Orchard,0.10556619,0.11910797,0.111908158,0.193736352,0.265756565,0.528995359,0.193736352,0.906077186,1.3603,1.687168615,0.348109706,3.410973623,1.687168615
IDW3,IDW-3,w,Orchard,0.276346503,0.307301564,0.116342121,0.311093423,0.10240243,0.707459413,0.311093423,0.179853269,0.1953,1.187400079,0.348109706,3.410973623,1.187400079
MTT1,MTT-1,t,Orchard,0.44768571,0.534727484,0.223964642,0.527655205,0.147980964,1.135808636,0.527655205,0.41631359,0.50435,2.783782907,0.348116256,8.008594385,2.783782907
MTW1,MTW-1,w,Orchard,0.077004331,0.082821011,0.071209919,0.135862686,0.173666434,0.508868573,0.135862686,0,0,1.063629706,0.348109706,3.410973623,1.063629706
MTW2,MTW-2,w,Orchard,0.141248442,0.153201418,0.090608042,0.175273594,0.102626199,0.563406211,0.175273594,0.011756748,0.011833333,0.80036908,0.258227251,3.410973623,0.80036908
MTW3,MTW-3,w,Orchard,0.113148143,0.120129477,0.064249164,0.138074462,0.102396042,0.422414629,0.138074462,0.077650737,0.0904,0.693355101,0.205233509,3.410973623,0.693355101
NMT1,NMT-1,w,Orchard,0.4241374,0.485270926,0.13250367,0.448829727,0.128672437,0.667907146,0.448829727,0.009576061,0.0096,1.070219704,0.348109706,3.410973623,1.070219704
NMT2,NMT-2,w,Orchard,0.356737684,0.40167457,0.122793041,0.390818326,0.092973617,0.822780101,0.390818326,0.038387213,0.03975,1.090046795,0.348109706,3.410973623,1.090046795
NVT1,NVT-1,t,Orchard,0.632529468,0.773192071,0.209308348,0.681825868,0.092861292,1.306642759,0.681825868,2.334038369,8.121666667,3.650525378,0.258230876,8.008594385,3.650525378
NVT2,NVT-2,t,Orchard,0.689066509,0.900110883,0.334688619,0.739065702,0.102387797,1.309417828,0.739065702,5.295382047,15.97155,6.141431757,0.348116256,8.008594385,6.141431757
NVW1,NVW-1,t,Orchard,0.392204065,0.496515455,0.314639897,0.461007164,0.102325162,1.245859709,0.461007164,2.736509136,7.4931,4.380481534,0.348116256,8.008594385,4.380481534
